,code,report_type,finyear,report_url
0,2206004,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=CHAMPHAI+&district_code=2206&block_name=CHAMPHAI&block_code=2206004&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=bZgF7NmpY+9jGO5W3t4ZpA
1,2205002,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=KOLASIB&district_code=2205&block_name=BILKHAWTHLIR&block_code=2205002&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=sLNppcoQSOcFkYzJY3FkEQ
2,2202004,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=LUNGLEI&district_code=2202&block_name=BUNGHMUN&block_code=2202004&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=0RRDH3lLeRxc7UxRpVsrwQ
3,2204001,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=MAMIT&district_code=2204&block_name=Zawlnuam&block_code=2204001&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=WIlc7auROGPeHiqf4I2h0A
4,2208004,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=LAWNGTLAI&district_code=2208&block_name=BUNGTLANG+S&block_code=2208004&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=9SJ0AWl%2FZn4ki66PdOCKIg
5,2203005,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=SAIHA&district_code=2203&block_name=SAIHA&block_code=2203005&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=eEFNN1xYSSe5QRVrFuzKQA
6,2202001,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=LUNGLEI&district_code=2202&block_name=LUNGLEI&block_code=2202001&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=aG+OG+MQOoGsrPClPQw5Iw
7,2208001,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=LAWNGTLAI&district_code=2208&block_name=LAWNGTLAI&block_code=2208001&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=2R6crS7waM1gDF8QNpMjCw
8,2203004,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=SAIHA&district_code=2203&block_name=TUIPANG&block_code=2203004&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=iWElPSbCtJUkMa6EVnxksw
9,2205002,NICRejectedTransactionsCoBankURL,19,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=KOLASIB&district_code=2205&block_name=BILKHAWTHLIR&block_code=2205002&fin_year=2018-2019&typ=R&mode=C&source=national&Digest=%2F41hckvDynKx7Vth0+lCCA
10,2208001,NICRejectedTransactionsCoBankURL,19,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=LAWNGTLAI&district_code=2208&block_name=LAWNGTLAI&block_code=2208001&fin_year=2018-2019&typ=R&mode=C&source=national&Digest=YxQX8kO3AZsJ7WT8A9ufSw
11,2205001,NICRejectedTransactionsCoBankURL,19,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=KOLASIB&district_code=2205&block_name=THINGDAWL&block_code=2205001&fin_year=2018-2019&typ=R&mode=C&source=national&Digest=gtDrc42xqqX+Avd8UCvlFQ
12,2203005,NICRejectedTransactionsCoBankURL,19,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=SAIHA&district_code=2203&block_name=SAIHA&block_code=2203005&fin_year=2018-2019&typ=R&mode=C&source=national&Digest=43MwcPmn6cJhBGgewW4hMA
13,2206004,NICRejectedTransactionsCoBankURL,19,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=CHAMPHAI+&district_code=2206&block_name=CHAMPHAI&block_code=2206004&fin_year=2018-2019&typ=R&mode=C&source=national&Digest=6IGDB+CacNlI2BxXn8f5ag
14,2203004,NICRejectedTransactionsCoBankURL,19,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=MIZORAM&state_code=22&district_name=SAIHA&district_code=2203&block_name=TUIPANG&block_code=2203004&fin_year=2018-2019&typ=R&mode=C&source=national&Digest=UOnBdMnP7dr07vC6kz9qpw
